Entrée,partie du discours,Terme relié,partie du discours,relation
abate,VV,abatement,NN,DRV
abate,,abatement,,FRM
abate,,accelerate,,FRM
abate,,amplify,,FRM
abate,,intensify,,FRM
abate,VV,mitigate,VV,QSYN
abate,,mitigate,,FRM
abate,,mitigation,,FRM
abate,VV,reduce,VV,QSYN
abatement,NN,abate,VV,DRV
abatement,,abate,,FRM
abatement,,accelerate,,FRM
abatement,,amplify,,FRM
abatement,,intensify,,FRM
abatement,,mitigate,,FRM
abatement,,mitigation,,FRM
abatement,NN,reduction,NN,QSYN
absorb,VV,absorption,NN,DRV
absorb,,absorption,,FRM
absorb,VV,emit,VV,ANTI
absorb,VV,radiate,VV,ANTI
absorb,VV,reflect,VV,ANTI
absorb,VV,store,VV,QSYN
absorb,VV,trap,VV,QSYN
absorb,,uptake,,FRM
absorption,NN,absorb,VV,DRV
absorption,,absorb,,FRM
absorption,NN,emission,NN,ANTI
absorption,NN,release,NN,ANTI
absorption,NN,uptake,NN,QSYN
absorption,,uptake,,FRM
accelerate,,abate,,FRM
accelerate,,abatement,,FRM
accelerate,VV,acceleration,NN,DRV
accelerate,,acceleration,,FRM
accelerate,VV,amplify,VV,QSYN
accelerate,,amplify,,FRM
accelerate,VV,increase,VV,QSYN
accelerate,,intensification,,FRM
accelerate,VV,intensify,VV,QSYN
accelerate,,intensify,,FRM
accelerate,,mitigate,,FRM
accelerate,,mitigation,,FRM
accelerate,VV,rise,VV,QSYN
acceleration,NN,accelerate,VV,DRV
acceleration,,accelerate,,FRM
acceleration,NN,increase,NN,QSYN
acceleration,NN,intensification,NN,QSYN
acceleration,,intensification,,FRM
acceleration,,intensify,,FRM
accumulate,VV,accumulation,NN,DRV
accumulate,,accumulation,,FRM
accumulate,,concentration,,FRM
accumulation,NN,accumulate,VV,DRV
accumulation,,accumulate,,FRM
accumulation,,concentration,,FRM
acidification,NN,acidify,VV,DRV
acidification,,acidify,,FRM
acidification,,contaminate,,FRM
acidification,NN,contamination,NN,QSYN
acidification,,pollute,,FRM
acidification,NN,pollution,NN,QSYN
acidify,VV,acidification,NN,DRV
acidify,,acidification,,FRM
acidify,VV,contaminate,VV,QSYN
acidify,,contaminate,,FRM
acidify,VV,pollute,VV,QSYN
acidify,,pollute,,FRM
activity,NN,event,NN,QSYN
adapt,VV,adaptation,NN,DRV
adapt,,adaptation,,FRM
adaptation,NN,adapt,VV,DRV
adaptation,,adapt,,FRM
adaptive,JJ,adapt,VV,DRV
adaptive,JJ,adaptation,NN,DRV
aerobic,JJ,anaerobic,JJ,ANTI
affect,,effect,,FRM
affect,,impact,,FRM
affect,,influence,,FRM
afforestation,NN,deforestation,NN,ANTI
afforestation,,reforest,,FRM
afforestation,NN,reforestation,NN,QSYN
afforestation,,reforestation,,FRM
agricultural,JJ,agriculture,NN,DRV
agriculture,NN,agricultural,JJ,DRV
agriculture,,cultivate,,FRM
agriculture,NN,farming,NN,QSYN
albedo,NN,reflectivity,NN,QSYN
alter,VV,alteration,NN,DRV
alter,,alteration,,FRM
alter,VV,change,VV,QSYN
alter,,change,,FRM
alter,VV,damage,VV,QSYN
alter,VV,degrade,VV,QSYN
alter,VV,deteriorate,VV,QSYN
alter,,perturbation,,FRM
alteration,NN,alter,VV,DRV
alteration,,alter,,FRM
alteration,,change,,FRM
alteration,NN,deterioration,NN,QSYN
alteration,,perturbation,,FRM
alternative,JJ,clean,JJ,QSYN
alternative,JJ,green,JJ,QSYN
alternative,JJ,pure,JJ,QSYN
alternative,JJ,smart,JJ,QSYN
amplify,,abate,,FRM
amplify,,abatement,,FRM
amplify,VV,accelerate,VV,QSYN
amplify,,accelerate,,FRM
amplify,VV,amplification,NN,DRV
amplify,VV,decrease,VV,ANTI
amplify,VV,increase,VV,QSYN
amplify,VV,intensify,VV,QSYN
amplify,,intensify,,FRM
amplify,VV,mitigate,VV,ANTI
amplify,,mitigate,,FRM
amplify,,mitigation,,FRM
anaerobic,JJ,aerobic,JJ,ANTI
anthropogenic,JJ,human,JJ,QSYN
anthropogenic,JJ,human-induced,JJ,QSYN
anthropogenic,JJ,natural,JJ,ANTI
area,NN,region,NN,QSYN
arid,JJ,aridity,NN,DRV
arid,JJ,semi-arid,JJ,QSYN
assess,VV,assessment,NN,DRV
assess,,assessment,,FRM
assess,VV,estimate,VV,QSYN
assess,VV,evaluate,VV,QSYN
assessment,NN,assess,VV,DRV
assessment,,assess,,FRM
atmosphere,NN,air,NN,QSYN
automobile,NN,car,NN,QSYN
automobile,NN,truck,NN,QSYN
automobile,NN,vehicle,NN,HYP
bicycle,NN,bike,NN,QSYN
bicycle,NN,transportation,NN,HYP
bicycle,NN,vehicle,NN,HYP
bin,NN,container,NN,QSYN
biodiversity,NN,diversity,NN,HYP
biological,JJ,chemical,JJ,ANTI
biological,JJ,natural,JJ,QSYN
biological,JJ,organic,JJ,QSYN
biomass,NN,bioenergy,NN,HYP
biome,NN,ecosystem,NN,QSYN
biome,NN,tundra,NN,HYP
biosphere,NN,ecosystem,NN,QSYN
boiler,NN,heater,NN,QSYN
burn,VV,burning,NN,DRV
burning,NN,burn,VV,DRV
burning,NN,combustion,NN,QSYN
burning,NN,incineration,NN,QSYN
bus,NN,metro,NN,QSYN
bus,NN,train,NN,QSYN
bus,NN,transportation,NN,HYP
calculate,VV,calculation,NN,DRV
calculate,,calculation,,FRM
calculate,VV,estimate,VV,QSYN
calculation,NN,calculate,VV,DRV
calculation,,calculate,,FRM
calculation,NN,estimation,NN,QSYN
capture,VV,sequester,VV,QSYN
capture,,sequester,,FRM
capture,NN,sequestration,NN,QSYN
capture,,sequestration,,FRM
capture,NN,storage,NN,QSYN
car,NN,automobile,NN,QSYN
car,NN,truck,NN,QSYN
car,NN,vehicle,NN,HYP
carbon,NN,c,NN,QSYN
carbon,NN,gas,NN,HYP
carry,VV,commute,VV,ANTI
carry,,transportation,,FRM
carry,VV,travel,VV,ANTI
change,VV,alter,VV,QSYN
change,,alter,,FRM
change,,alteration,,FRM
change,VV,fluctuate,VV,QSYN
change,,fluctuate,,FRM
change,NN,fluctuation,NN,QSYN
change,,fluctuation,,FRM
change,,perturbation,,FRM
change,VV,shift,VV,QSYN
change,,shift,,FRM
change,VV,stabilize,VV,QSYN
change,NN,variation,NN,QSYN
change,,variation,,FRM
change,VV,vary,VV,QSYN
change,,vary,,FRM
charge,VV,discharge,VV,ANTI
charge,NN,recharge,NN,QSYN
charge,,recharge,,FRM
chemical,JJ,biological,JJ,ANTI
chemical,NN,dioxin,NN,HYP
chemical,JJ,natural,JJ,ANTI
chemical,NN,toxic,NN,HYP
clean,JJ,alternative,JJ,QSYN
clean,,environmental,,FRM
clean,JJ,green,JJ,QSYN
clean,,green,,FRM
clean,JJ,pure,JJ,QSYN
clean,JJ,smart,JJ,QSYN
clear,VV,clearing,NN,DRV
clear,,clearing,,FRM
clear,VV,deforest,VV,QSYN
clear,,deforest,,FRM
clear,,deforestation,,FRM
clearing,NN,clear,VV,DRV
clearing,,clear,,FRM
clearing,NN,clearance,NN,QSYN
clearing,,deforest,,FRM
clearing,NN,deforestation,NN,QSYN
