Entrée,partie du discours,Terme relié,partie du discours,relation
abaisser,,augmentation,,FRM
abaisser,VV,augmenter,VV,ANTI
abaisser,,augmenter,,FRM
abaisser,,diminuer,,FRM
abaisser,,réduction,,FRM
abaisser,VV,réduire,VV,QSYN
abaisser,,réduire,,FRM
abiotique,JJ,biotique,JJ,ANTI
absorber,VV,absorption,NN,DRV
absorber,,absorption,,FRM
absorber,VV,émettre,VV,ANTI
absorber,VV,libérer,VV,ANTI
absorber,VV,réfléchir,VV,ANTI
absorption,NN,absorber,VV,DRV
absorption,,absorber,,FRM
absorption,NN,émission,NN,ANTI
absorption,NN,libération,NN,ANTI
accélération,NN,accélérer,VV,DRV
accélération,,accélérer,,FRM
accélération,,aggraver,,FRM
accélération,,intensification,,FRM
accélération,,intensifier,,FRM
accélération,,ralentir,,FRM
accélération,NN,ralentissement,NN,ANTI
accélération,,ralentissement,,FRM
accélérer,VV,accélération,NN,DRV
accélérer,,accélération,,FRM
accélérer,VV,aggraver,VV,QSYN
accélérer,,aggraver,,FRM
accélérer,,amplification,,FRM
accélérer,VV,amplifier,VV,QSYN
accélérer,,amplifier,,FRM
accélérer,,atténuation,,FRM
accélérer,,atténuer,,FRM
accélérer,VV,augmenter,VV,QSYN
accélérer,VV,freiner,VV,ANTI
accélérer,,intensification,,FRM
accélérer,VV,intensifier,VV,QSYN
accélérer,,intensifier,,FRM
accélérer,,limiter,,FRM
accélérer,VV,ralentir,VV,ANTI
accélérer,,ralentir,,FRM
accélérer,,ralentissement,,FRM
accélérer,,renforcer,,FRM
accumulateur,NN,batterie,NN,QSYN
accumulateur,NN,pile,NN,QSYN
accumulation,NN,accumuler,VV,DRV
accumulation,,accumuler,,FRM
accumulation,,concentration,,FRM
accumuler,VV,accumulation,NN,DRV
accumuler,,accumulation,,FRM
accumuler,,concentration,,FRM
acidification,NN,contamination,NN,QSYN
acidification,,contamination,,FRM
acidification,,contaminer,,FRM
acidification,NN,eutrophisation,NN,QSYN
acidification,,eutrophisation,,FRM
acidification,,polluer,,FRM
activité,NN,agriculture,NN,HYP
adaptation,NN,adapter,VV,DRV
adaptation,,adapter,,FRM
adapter,VV,adaptation,NN,DRV
adapter,,adaptation,,FRM
affecter,VV,aggraver,VV,QSYN
affecter,VV,altérer,VV,QSYN
affecter,,effet,,FRM
affecter,,impact,,FRM
affecter,,incidence,,FRM
affecter,,influence,,FRM
affecter,,influencer,,FRM
affecter,,influer,,FRM
affecter,,répercussion,,FRM
aggraver,,accélération,,FRM
aggraver,VV,accélérer,VV,QSYN
aggraver,,accélérer,,FRM
aggraver,VV,aggravation,NN,DRV
aggraver,VV,altérer,VV,QSYN
aggraver,,amplification,,FRM
aggraver,VV,amplifier,VV,QSYN
aggraver,,amplifier,,FRM
aggraver,,atténuation,,FRM
aggraver,VV,atténuer,VV,ANTI
aggraver,,atténuer,,FRM
aggraver,VV,augmenter,VV,QSYN
aggraver,,intensification,,FRM
aggraver,VV,intensifier,VV,QSYN
aggraver,,intensifier,,FRM
aggraver,,limiter,,FRM
aggraver,,ralentir,,FRM
aggraver,,ralentissement,,FRM
aggraver,,renforcer,,FRM
agricole,JJ,agriculture,NN,DRV
agricole,JJ,piscicole,JJ,ANTI
agriculteur,NN,apiculteur,NN,HYP
agriculteur,NN,cultivateur,NN,HYP
agriculteur,NN,éleveur,NN,HYP
agriculteur,NN,fermier,NN,QSYN
agriculture,NN,agricole,JJ,DRV
agriculture,,cultiver,,FRM
agriculture,NN,culture,NN,HYP
agriculture,,culture,,FRM
agriculture,NN,élevage,NN,HYP
alcool,NN,bioéthanol,NN,HYP
alcool,NN,carburant,NN,HYP
alcool,NN,éthanol,NN,HYP
algue,NN,organisme,NN,HYP
algue,NN,phytoplancton,NN,HYP
alimenter,VV,charger,VV,QSYN
alimenter,VV,consommer,VV,ANTI
alimenter,VV,recharger,VV,QSYN
altération,NN,aggravation,NN,QSYN
altération,NN,altérer,VV,DRV
altération,,altérer,,FRM
altération,,bouleversement,,FRM
altération,NN,changement,NN,QSYN
altération,,changer,,FRM
altération,,modifier,,FRM
altération,NN,perturbation,NN,QSYN
altération,,perturbation,,FRM
altération,,perturber,,FRM
altérer,VV,affecter,VV,QSYN
altérer,VV,aggraver,VV,QSYN
altérer,VV,altération,NN,DRV
altérer,,altération,,FRM
altérer,,bouleversement,,FRM
altérer,VV,changer,VV,QSYN
altérer,,changer,,FRM
altérer,VV,modifier,VV,QSYN
altérer,,modifier,,FRM
altérer,,perturbation,,FRM
altérer,VV,perturber,VV,QSYN
altérer,,perturber,,FRM
alternatif,JJ,continu,JJ,ANTI
alternatif,JJ,traditionnel,JJ,ANTI
amplification,,accélérer,,FRM
amplification,,aggraver,,FRM
amplification,,amplifier,,FRM
amplification,NN,atténuation,NN,ANTI
amplification,,atténuation,,FRM
amplification,,atténuer,,FRM
amplification,NN,augmentation,NN,QSYN
amplification,NN,hausse,NN,QSYN
amplification,NN,intensification,NN,QSYN
amplification,,intensifier,,FRM
amplification,,limiter,,FRM
amplification,,ralentir,,FRM
amplification,,renforcer,,FRM
amplifier,,accélérer,,FRM
amplifier,,aggraver,,FRM
amplifier,VV,amplification,NN,DRV
amplifier,,amplification,,FRM
amplifier,,atténuation,,FRM
amplifier,VV,atténuer,VV,ANTI
amplifier,,atténuer,,FRM
amplifier,VV,augmenter,VV,QSYN
amplifier,VV,intensifier,VV,QSYN
amplifier,,intensifier,,FRM
amplifier,,limiter,,FRM
amplifier,,ralentir,,FRM
amplifier,,renforcer,,FRM
animal,NN,végétal,NN,ANTI
anthropique,JJ,homme,NN,DRV
